Nombre	Nombre_ordenado
TEL01L	A1_TEL01L
YAL069W	A2_YAL069W
YAL068W-A	A3_YAL068W-A
ARS102	A4_ARS102
intergenic*TEL01L_YAL068C	A5_intergenic*TEL01L_YAL068C
YAL068C	A6_YAL068C
intergenic*YAL068C_YAL067W-A	A7_intergenic*YAL068C_YAL067W-A
YAL067W-A	A8_YAL067W-A
intergenic*YAL067W-A_YAL067C	A9_intergenic*YAL067W-A_YAL067C
YAL067C	A10_YAL067C
ARS103	A11_ARS103
intergenic*YAL067C_YAL066W	A12_intergenic*YAL067C_YAL066W
YAL066W	A13_YAL066W
intergenic*YAL066W_YAL065C	A14_intergenic*YAL066W_YAL065C
YAL065C	A15_YAL065C
intergenic*YAL065C_YAL064W-B	A16_intergenic*YAL065C_YAL064W-B
YAL064W-B	A17_YAL064W-B
intergenic*YAL064W-B_YAL064C-A	A18_intergenic*YAL064W-B_YAL064C-A
YAL064C-A	A19_YAL064C-A
intergenic*YAL064C-A_YAL064W	A20_intergenic*YAL064C-A_YAL064W
YAL064W	A21_YAL064W
intergenic*YAL064W_YALWdelta1	A22_intergenic*YAL064W_YALWdelta1
YALWdelta1	A23_YALWdelta1
YAL063C-A	A24_YAL063C-A
intergenic*YAL063C-A_YAL063C	A25_intergenic*YAL063C-A_YAL063C
YAL063C	A26_YAL063C
intergenic*YAL063C_ARS104	A27_intergenic*YAL063C_ARS104
ARS104	A28_ARS104
intergenic*ARS104_YAL062W	A29_intergenic*ARS104_YAL062W
YAL062W	A30_YAL062W
intergenic*YAL062W_YAL061W	A31_intergenic*YAL062W_YAL061W
YAL061W	A32_YAL061W
intergenic*YAL061W_YAL060W	A33_intergenic*YAL061W_YAL060W
YAL060W	A34_YAL060W
intergenic*YAL060W_YAL059C-A	A35_intergenic*YAL060W_YAL059C-A
YAL059C-A	A36_YAL059C-A
YAL059W	A37_YAL059W
intergenic*YAL059W_YAL058W	A38_intergenic*YAL059W_YAL058W
YAL058W	A39_YAL058W
YAL056C-A	A40_YAL056C-A
intergenic*YAL056C-A_YAL056W	A41_intergenic*YAL056C-A_YAL056W
YAL056W	A42_YAL056W
intergenic*YAL056W_ARS105	A43_intergenic*YAL056W_ARS105
ARS105	A44_ARS105
intergenic*ARS105_YAL055W	A45_intergenic*ARS105_YAL055W
YAL055W	A46_YAL055W
