Feature_name_A	Feature_name_B	Position	Category	Essential
YAL069W	YAL069W	1	ORF	non_essential
YAL068W-A	YAL068W-A	2	ORF	non_essential
YAL068C	YAL068C	3	ORF	non_essential
YAL067W-A	YAL067W-A	4	ORF	non_essential
YAL067C	YAL067C	5	ORF	non_essential
YAL066W	YAL066W	6	ORF	non_essential
YAL065C	YAL065C	7	ORF	non_essential
YAL064W-B	YAL064W-B	8	ORF	non_essential
YAL064C-A	YAL064C-A	9	ORF	non_essential
YAL064W	YAL064W	10	ORF	non_essential
YAL063C-A	YAL063C-A	11	ORF	non_essential
YAL063C	YAL063C	12	ORF	non_essential
YAL062W	YAL062W	13	ORF	non_essential
YAL061W	YAL061W	14	ORF	non_essential
YAL060W	YAL060W	15	ORF	non_essential
YAL059C-A	YAL059C-A	16	ORF	non_essential
YAL059W	YAL059W	17	ORF	non_essential
YAL058W	YAL058W	18	ORF	non_essential
YAL056C-A	YAL056C-A	19	ORF	non_essential
YAL056W	YAL056W	20	ORF	non_essential
YAL055W	YAL055W	21	ORF	non_essential
YAL054C	YAL054C	22	ORF	non_essential
YAL053W	YAL053W	23	ORF	non_essential
YAL051W	YAL051W	24	ORF	non_essential
YAL049C	YAL049C	25	ORF	non_essential
YAL048C	YAL048C	26	ORF	non_essential
YAL047W-A	YAL047W-A	27	ORF	non_essential
YAL047C	YAL047C	28	ORF	essential
YAL046C	YAL046C	29	ORF	non_essential
YAL045C	YAL045C	30	ORF	non_essential
YAL044W-A	YAL044W-A	31	ORF	non_essential
YAL044C	YAL044C	32	ORF	non_essential
YAL043C	YAL043C	33	ORF	essential
YAL042C-A	YAL042C-A	34	ORF	non_essential
YAL042W	YAL042W	35	ORF	non_essential
YAL041W	YAL041W	36	ORF	essential
YAL040C	YAL040C	37	ORF	non_essential
YAL039C	YAL039C	38	ORF	non_essential
YAL038W	YAL038W	39	ORF	essential
YAL037C-B	YAL037C-B	40	ORF	non_essential
YAL037C-A	YAL037C-A	41	ORF	non_essential
YAL037W	YAL037W	42	ORF	non_essential
YAL036C	YAL036C	43	ORF	non_essential
YAL035W	YAL035W	44	ORF	non_essential
YAL034C-B	YAL034C-B	45	ORF	essential
YAL034W-A	YAL034W-A	46	ORF	essential
YAL034C	YAL034C	47	ORF	non_essential
YAL033W	YAL033W	48	ORF	essential
YAL032C	YAL032C	49	ORF	essential
YAL031W-A	YAL031W-A	50	ORF	non_essential
YAL031C	YAL031C	51	ORF	non_essential
YAL030W	YAL030W	52	ORF	non_essential
YAL029C	YAL029C	53	ORF	non_essential
YAL028W	YAL028W	54	ORF	non_essential
YAL027W	YAL027W	55	ORF	non_essential
YAL026C-A	YAL026C-A	56	ORF	non_essential
YAL026C	YAL026C	57	ORF	non_essential
YAL025C	YAL025C	58	ORF	essential
YAL024C	YAL024C	59	ORF	non_essential
YAL023C	YAL023C	60	ORF	non_essential
YAL022C	YAL022C	61	ORF	non_essential
YAL021C	YAL021C	62	ORF	non_essential
YAL020C	YAL020C	63	ORF	non_essential
YAL019W-A	YAL019W-A	64	ORF	non_essential
YAL019W	YAL019W	65	ORF	non_essential
YAL018C	YAL018C	66	ORF	non_essential
YAL017W	YAL017W	67	ORF	non_essential
YAL016C-B	YAL016C-B	68	ORF	non_essential
YAL016C-A	YAL016C-A	69	ORF	non_essential
YAL016W	YAL016W	70	ORF	non_essential
YAL015C	YAL015C	71	ORF	non_essential
YAL014C	YAL014C	72	ORF	non_essential
YAL013W	YAL013W	73	ORF	non_essential
YAL012W	YAL012W	74	ORF	non_essential
YAL011W	YAL011W	75	ORF	non_essential
YAL010C	YAL010C	76	ORF	non_essential
YAL009W	YAL009W	77	ORF	non_essential
YAL008W	YAL008W	78	ORF	non_essential
YAL007C	YAL007C	79	ORF	non_essential
YAL005C	YAL005C	80	ORF	non_essential
YAL004W	YAL004W	81	ORF	non_essential
YAL003W	YAL003W	82	ORF	essential
YAL002W	YAL002W	83	ORF	non_essential
YAL001C	YAL001C	84	ORF	essential
YAR002W	YAR002W	85	ORF	non_essential
YAR002C-A	YAR002C-A	86	ORF	non_essential
YAR003W	YAR003W	87	ORF	non_essential
YAR007C	YAR007C	88	ORF	essential
YAR008W	YAR008W	89	ORF	essential
YAR014C	YAR014C	90	ORF	non_essential
YAR015W	YAR015W	91	ORF	non_essential
YAR018C	YAR018C	92	ORF	non_essential
YAR019C	YAR019C	93	ORF	essential
YAR019W-A	YAR019W-A	94	ORF	non_essential
YAR020C	YAR020C	95	ORF	non_essential
YAR023C	YAR023C	96	ORF	non_essential
YAR027W	YAR027W	97	ORF	non_essential
YAR028W	YAR028W	98	ORF	non_essential
YAR029W	YAR029W	99	ORF	non_essential
YAR030C	YAR030C	100	ORF	non_essential
YAR031W	YAR031W	101	ORF	non_essential
YAR033W	YAR033W	102	ORF	non_essential
YAR035W	YAR035W	103	ORF	non_essential
YAR035C-A	YAR035C-A	104	ORF	non_essential
YAR042W	YAR042W	105	ORF	non_essential
YAR047C	YAR047C	106	ORF	non_essential
YAR050W	YAR050W	107	ORF	non_essential
YAR053W	YAR053W	108	ORF	non_essential
YAR060C	YAR060C	109	ORF	non_essential
YAR064W	YAR064W	110	ORF	non_essential
YAR066W	YAR066W	111	ORF	non_essential
YAR068W	YAR068W	112	ORF	non_essential
YAR069C	YAR069C	113	ORF	non_essential
YAR070C	YAR070C	114	ORF	non_essential
YAR071W	YAR071W	115	ORF	non_essential
YAR073W	YAR073W	116	ORF	non_essential
