Feature_name_B	Feature_name_B_prev	Feature_name_B_next
TEL01L	NA	intergenic*TEL01L_YAL068C
YAL069W	NA	intergenic*TEL01L_YAL068C
YAL068W-A	NA	intergenic*TEL01L_YAL068C
ARS102	NA	intergenic*TEL01L_YAL068C
intergenic*TEL01L_YAL068C	TEL01L	YAL068C
YAL068C	intergenic*TEL01L_YAL068C	intergenic*YAL068C_YAL067W-A
intergenic*YAL068C_YAL067W-A	YAL068C	YAL067W-A
YAL067W-A	intergenic*YAL068C_YAL067W-A	intergenic*YAL067W-A_YAL067C
intergenic*YAL067W-A_YAL067C	YAL067W-A	YAL067C
YAL067C	intergenic*YAL067W-A_YAL067C	ARS103
ARS103	YAL067C	intergenic*YAL067C_YAL066W
intergenic*YAL067C_YAL066W	ARS103	YAL066W
YAL066W	intergenic*YAL067C_YAL066W	intergenic*YAL066W_YAL065C
intergenic*YAL066W_YAL065C	YAL066W	YAL065C
YAL065C	intergenic*YAL066W_YAL065C	intergenic*YAL065C_YAL064W-B
intergenic*YAL065C_YAL064W-B	YAL065C	YAL064W-B
YAL064W-B	intergenic*YAL065C_YAL064W-B	intergenic*YAL064W-B_YAL064C-A
intergenic*YAL064W-B_YAL064C-A	YAL064W-B	YAL064C-A
YAL064C-A	intergenic*YAL064W-B_YAL064C-A	intergenic*YAL064C-A_YAL064W
intergenic*YAL064C-A_YAL064W	YAL064C-A	YAL064W
YAL064W	intergenic*YAL064C-A_YAL064W	intergenic*YAL064W_YALWdelta1
intergenic*YAL064W_YALWdelta1	YAL064W	YALWdelta1
YALWdelta1	intergenic*YAL064W_YALWdelta1	YAL063C-A
YAL063C-A	YALWdelta1	intergenic*YAL063C-A_YAL063C
intergenic*YAL063C-A_YAL063C	YAL063C-A	YAL063C
YAL063C	intergenic*YAL063C-A_YAL063C	intergenic*YAL063C_ARS104
intergenic*YAL063C_ARS104	YAL063C	ARS104
ARS104	intergenic*YAL063C_ARS104	intergenic*ARS104_YAL062W
intergenic*ARS104_YAL062W	ARS104	YAL062W
YAL062W	intergenic*ARS104_YAL062W	intergenic*YAL062W_YAL061W
intergenic*YAL062W_YAL061W	YAL062W	YAL061W
YAL061W	intergenic*YAL062W_YAL061W	intergenic*YAL061W_YAL060W
intergenic*YAL061W_YAL060W	YAL061W	YAL060W
YAL060W	intergenic*YAL061W_YAL060W	intergenic*YAL060W_YAL059C-A
intergenic*YAL060W_YAL059C-A	YAL060W	YAL059C-A
YAL059C-A	intergenic*YAL060W_YAL059C-A	YAL059W
YAL059W	YAL059C-A	intergenic*YAL059W_YAL058W
intergenic*YAL059W_YAL058W	YAL059W	YAL058W
YAL058W	intergenic*YAL059W_YAL058W	YAL056C-A
YAL056C-A	YAL058W	intergenic*YAL056C-A_YAL056W
intergenic*YAL056C-A_YAL056W	YAL056C-A	YAL056W
YAL056W	intergenic*YAL056C-A_YAL056W	intergenic*YAL056W_ARS105
intergenic*YAL056W_ARS105	YAL056W	ARS105
ARS105	intergenic*YAL056W_ARS105	intergenic*ARS105_YAL055W
intergenic*ARS105_YAL055W	ARS105	YAL055W
YAL055W	intergenic*ARS105_YAL055W	intergenic*YAL055W_YAL054C
intergenic*YAL055W_YAL054C	YAL055W	YAL054C
YAL054C	intergenic*YAL055W_YAL054C	intergenic*YAL054C_YAL053W
intergenic*YAL054C_YAL053W	YAL054C	YAL053W
YAL053W	intergenic*YAL054C_YAL053W	intergenic*YAL053W_YAL051W
intergenic*YAL053W_YAL051W	YAL053W	YAL051W
YAL051W	intergenic*YAL053W_YAL051W	intergenic*YAL051W_YAL049C
intergenic*YAL051W_YAL049C	YAL051W	YAL049C
YAL049C	intergenic*YAL051W_YAL049C	intergenic*YAL049C_YAL048C
intergenic*YAL049C_YAL048C	YAL049C	YAL048C
YAL048C	intergenic*YAL049C_YAL048C	YAL047W-A
YAL047W-A	YAL048C	intergenic*YAL047W-A_YAL047C
intergenic*YAL047W-A_YAL047C	YAL047W-A	YAL047C
YAL047C	intergenic*YAL047W-A_YAL047C	intergenic*YAL047C_YAL046C
intergenic*YAL047C_YAL046C	YAL047C	YAL046C
YAL046C	intergenic*YAL047C_YAL046C	intergenic*YAL046C_YAL045C
intergenic*YAL046C_YAL045C	YAL046C	YAL045C
YAL045C	intergenic*YAL046C_YAL045C	YAL044W-A
YAL044W-A	YAL045C	intergenic*YAL044W-A_YAL044C
intergenic*YAL044W-A_YAL044C	YAL044W-A	YAL044C
YAL044C	intergenic*YAL044W-A_YAL044C	intergenic*YAL044C_YAL043C
intergenic*YAL044C_YAL043C	YAL044C	YAL043C
YAL043C	intergenic*YAL044C_YAL043C	intergenic*YAL043C_YAL042C-A
intergenic*YAL043C_YAL042C-A	YAL043C	YAL042C-A
YAL042C-A	intergenic*YAL043C_YAL042C-A	YAL042W
YAL042W	YAL042C-A	intergenic*YAL042W_YAL041W
intergenic*YAL042W_YAL041W	YAL042W	YAL041W
YAL041W	intergenic*YAL042W_YAL041W	intergenic*YAL041W_YAL040C
intergenic*YAL041W_YAL040C	YAL041W	YAL040C
YAL040C	intergenic*YAL041W_YAL040C	intergenic*YAL040C_YAL039C
intergenic*YAL040C_YAL039C	YAL040C	YAL039C
YAL039C	intergenic*YAL040C_YAL039C	intergenic*YAL039C_ARS106
