Feature_name_B_next	Feature_name_B_next_next
TEL01L	intergenic*TEL01L_YAL068C
YAL069W	intergenic*TEL01L_YAL068C
YAL068W-A	intergenic*TEL01L_YAL068C
ARS102	intergenic*TEL01L_YAL068C
intergenic*TEL01L_YAL068C	YAL068C
YAL068C	intergenic*YAL068C_YAL067W-A
intergenic*YAL068C_YAL067W-A	YAL067W-A
YAL067W-A	intergenic*YAL067W-A_YAL067C
intergenic*YAL067W-A_YAL067C	YAL067C
YAL067C	ARS103
ARS103	intergenic*YAL067C_YAL066W
intergenic*YAL067C_YAL066W	YAL066W
YAL066W	intergenic*YAL066W_YAL065C
intergenic*YAL066W_YAL065C	YAL065C
YAL065C	intergenic*YAL065C_YAL064W-B
intergenic*YAL065C_YAL064W-B	YAL064W-B
YAL064W-B	intergenic*YAL064W-B_YAL064C-A
intergenic*YAL064W-B_YAL064C-A	YAL064C-A
YAL064C-A	intergenic*YAL064C-A_YAL064W
intergenic*YAL064C-A_YAL064W	YAL064W
YAL064W	intergenic*YAL064W_YALWdelta1
intergenic*YAL064W_YALWdelta1	YALWdelta1
YALWdelta1	YAL063C-A
YAL063C-A	intergenic*YAL063C-A_YAL063C
intergenic*YAL063C-A_YAL063C	YAL063C
YAL063C	intergenic*YAL063C_ARS104
intergenic*YAL063C_ARS104	ARS104
ARS104	intergenic*ARS104_YAL062W
intergenic*ARS104_YAL062W	YAL062W
YAL062W	intergenic*YAL062W_YAL061W
intergenic*YAL062W_YAL061W	YAL061W
YAL061W	intergenic*YAL061W_YAL060W
intergenic*YAL061W_YAL060W	YAL060W
YAL060W	intergenic*YAL060W_YAL059C-A
intergenic*YAL060W_YAL059C-A	YAL059C-A
YAL059C-A	YAL059W
YAL059W	intergenic*YAL059W_YAL058W
intergenic*YAL059W_YAL058W	YAL058W
YAL058W	YAL056C-A
YAL056C-A	intergenic*YAL056C-A_YAL056W
intergenic*YAL056C-A_YAL056W	YAL056W
YAL056W	intergenic*YAL056W_ARS105
intergenic*YAL056W_ARS105	ARS105
ARS105	intergenic*ARS105_YAL055W
intergenic*ARS105_YAL055W	YAL055W
YAL055W	intergenic*YAL055W_YAL054C
intergenic*YAL055W_YAL054C	YAL054C
