Feature_name_A	Position
TEL01L	1
YAL069W	2
YAL068W-A	3
ARS102	4
intergenic*TEL01L_YAL068C	5
YAL068C	6
intergenic*YAL068C_YAL067W-A	7
YAL067W-A	8
intergenic*YAL067W-A_YAL067C	9
YAL067C	10
ARS103	11
intergenic*YAL067C_YAL066W	12
YAL066W	13
intergenic*YAL066W_YAL065C	14
YAL065C	15
intergenic*YAL065C_YAL064W-B	16
YAL064W-B	17
intergenic*YAL064W-B_YAL064C-A	18
YAL064C-A	19
intergenic*YAL064C-A_YAL064W	20
YAL064W	21
intergenic*YAL064W_YALWdelta1	22
YALWdelta1	23
YAL063C-A	24
intergenic*YAL063C-A_YAL063C	25
YAL063C	26
intergenic*YAL063C_ARS104	27
ARS104	28
intergenic*ARS104_YAL062W	29
YAL062W	30
intergenic*YAL062W_YAL061W	31
YAL061W	32
intergenic*YAL061W_YAL060W	33
YAL060W	34
intergenic*YAL060W_YAL059C-A	35
YAL059C-A	36
YAL059W	37
intergenic*YAL059W_YAL058W	38
YAL058W	39
YAL056C-A	40
intergenic*YAL056C-A_YAL056W	41
YAL056W	42
intergenic*YAL056W_ARS105	43
ARS105	44
intergenic*ARS105_YAL055W	45
YAL055W	46
intergenic*YAL055W_YAL054C	47
YAL054C	48
intergenic*YAL054C_YAL053W	49
YAL053W	50
intergenic*YAL053W_YAL051W	51
YAL051W	52
intergenic*YAL051W_YAL049C	53
YAL049C	54
intergenic*YAL049C_YAL048C	55
YAL048C	56
YAL047W-A	57
intergenic*YAL047W-A_YAL047C	58
YAL047C	59
intergenic*YAL047C_YAL046C	60
YAL046C	61
intergenic*YAL046C_YAL045C	62
YAL045C	63
YAL044W-A	64
intergenic*YAL044W-A_YAL044C	65
YAL044C	66
intergenic*YAL044C_YAL043C	67
YAL043C	68
intergenic*YAL043C_YAL042C-A	69
YAL042C-A	70
YAL042W	71
intergenic*YAL042W_YAL041W	72
YAL041W	73
intergenic*YAL041W_YAL040C	74
YAL040C	75
intergenic*YAL040C_YAL039C	76
YAL039C	77
intergenic*YAL039C_ARS106	78
ARS106	79
intergenic*ARS106_YAL038W	80
YAL038W	81
YAL037C-B	82
intergenic*YAL037C-B_YAL037C-A	83
YAL037C-A	84
intergenic*YAL037C-A_YAL037W	85
YAL037W	86
intergenic*YAL037W_YAL036C	87
YAL036C	88
intergenic*YAL036C_YAL035W	89
YAL035W	90
intergenic*YAL035W_YAL034C-B	91
YAL034C-B	92
YAL034W-A	93
intergenic*YAL034W-A_YAL034C	94
YAL034C	95
intergenic*YAL034C_YAL033W	96
YAL033W	97
intergenic*YAL033W_YAL032C	98
YAL032C	99
intergenic*YAL032C_YAL031W-A	100
YAL031W-A	101
YAL031C	102
intergenic*YAL031C_YAL030W	103
YAL030W	104
intergenic*YAL030W_YAL029C	105
YAL029C	106
intergenic*YAL029C_YAL028W	107
YAL028W	108
intergenic*YAL028W_YAL027W	109
YAL027W	110
YAL026C-A	111
YAL026C	112
HRA1	113
intergenic*HRA1_YAL025C	114
YAL025C	115
intergenic*YAL025C_YAL024C	116
YAL024C	117
intergenic*YAL024C_YAL023C	118
YAL023C	119
intergenic*YAL023C_YAL022C	120
YAL022C	121
intergenic*YAL022C_YAL021C	122
YAL021C	123
intergenic*YAL021C_YAL020C	124
YAL020C	125
YAL019W-A	126
intergenic*YAL019W-A_YAL019W	127
YAL019W	128
intergenic*YAL019W_YAL018C	129
YAL018C	130
intergenic*YAL018C_YAL017W	131
YAL017W	132
intergenic*YAL017W_YAL016C-B	133
YAL016C-B	134
ARS107	135
intergenic*ARS107_YAL016C-A	136
YAL016C-A	137
YAL016W	138
intergenic*YAL016W_YAL015C	139
YAL015C	140
intergenic*YAL015C_YAL014C	141
YAL014C	142
intergenic*YAL014C_YAL013W	143
YAL013W	144
intergenic*YAL013W_YAL012W	145
YAL012W	146
intergenic*YAL012W_YAL011W	147
YAL011W	148
intergenic*YAL011W_YAL010C	149
YAL010C	150
intergenic*YAL010C_YAL009W	151
YAL009W	152
intergenic*YAL009W_YAL008W	153
YAL008W	154
intergenic*YAL008W_YAL007C	155
YAL007C	156
intergenic*YAL007C_YALCdelta2	157
YALCdelta2	158
intergenic*YALCdelta2_tP(UGG)A	159
tP(UGG)A	160
intergenic*tP(UGG)A_YAL005C	161
YAL005C	162
YAL004W	163
intergenic*YAL004W_YAL003W	164
YAL003W	165
snR18	166
intergenic*YAL003W_YAL002W	167
YAL002W	168
ARS108	169
YAL001C	170
intergenic*YAL001C_CEN1	171
CEN1	172
intergenic*CEN1_YAR002W	173
YAR002W	174
intergenic*YAR002W_YAR002C-A	175
YAR002C-A	176
intergenic*YAR002C-A_YAR003W	177
YAR003W	178
intergenic*YAR003W_YAR007C	179
YAR007C	180
intergenic*YAR007C_YAR008W	181
YAR008W	182
intergenic*YAR008W_ARS109	183
ARS109	184
YARCdelta3	185
YARCdelta4	186
YARCTy1-1	187
YAR009C	188
YAR010C	189
YARCdelta5	190
intergenic*YARCTy1-1_tA(UGC)A	191
tA(UGC)A	192
intergenic*tA(UGC)A_YAR014C	193
YAR014C	194
intergenic*YAR014C_YAR015W	195
YAR015W	196
intergenic*YAR015W_YAR018C	197
